Sigle,Domaine,Définition,Info supplémentaire
900 Mw CP0 et CP1  sans aéroréfrigérant,Palier,"Centrale nucléaire 900 MW sans aéroréfrigérant : Vues d’ensemble d’une centrale 900 MW du palier CP0 et CP1, sans aéroréfrigérant.
Cela concerne 18 unités : Fessenheim (1 et 2), Bugey (2 et 3), Tricastin (1, 2, 3 et 4),Gravelines (1, 2, 3, 4, 5 et 6) et Le Blayais (1, 2, 3 et 4).
Nous pouvons localiser :
• le bâtiment réacteur (BR), et son circuit primaire. Dans le circuit primaire est extraite la chaleur dégagée dans le coeur, grâce à la circulation d'eau sous pression, dite ""eau
primaire"". Cette eau circule dans des circuits, appelés boucles, au nombre de trois. Chaque boucle, raccordée à la cuve du réacteur, comprend une pompe de circulation,
dite pompe primaire, et un générateur de vapeur. L'eau est mise sous pression grâce à un pressuriseur situé sur l'une des trois boucles,
• le bâtiment combustible (BK),
• le bâtiment des circuits nucléaires annexes (BAN),
• la salle des machines (SDM), ici située longitudinalement par rapport au BR,
• l’alimentation électrique de secours, le diesel,
• le transformateur électrique, qui modifie la tension de l’électricité (24 000 V) fournie par le groupe turbo-alternateur en une haute tension de 400 000 V, valeur du réseau électrique européen. Pour les sites ci-dessus, les unités sont jumelées et utilisent plusieurs bâtiments en commun, dont le bâtiment des circuits nucléaires annexes.",
900 Mw CP0 et CP1  sans aéroréfrigérant schémas,Palier,,
900 Mw CP2 avec aéroréfrigérant,Palier,"Centrale nucléaire 900 MW avec aéroréfrigérant : Vues d’ensemble d’une centrale 900 MW du palier CP0 et CP1, avec aéroréfrigérant.
Cela concerne 6 unités : Bugey (4 et 5) et Dampierre (1, 2, 3 et 4). Nous pouvons localiser :
• le bâtiment réacteur (BR) et son circuit primaire. Dans le circuit primaire est extraite la chaleur dégagée dans le coeur, grâce à la circulation d'eau sous pression, dite ""eau
primaire"". Cette eau circule dans des circuits, appelés boucles, au nombre de trois. Chaque boucle, raccordée à la cuve du réacteur, comprend une pompe de circulation,
dite pompe primaire, et un générateur de vapeur. L'eau est mise sous pression grâce à un pressuriseur situé sur l'une des trois boucles, 
• le bâtiment combustible (BK),
• le bâtiment des circuits nucléaires annexes (BAN),
• la salle des machines (SDM), ici située longitudinalement par rapport au BR,
• l’aéroréfrigérant*, qui sert à réfrigérer l’eau du circuit de refroidissement de la centrale pour limiter le prélèvement d’eau dans le fleuve. L’aéroréfrigérant est une
tour immense creuse en son centre dans laquelle se crée, d’une manière naturelle, un courant d’air entrant en partie basse et sortant en partie haute. Au passage, ce
courant d’air prélève la chaleur contenue dans l’eau du circuit de refroidissement de la centrale et la restitue à l’atmosphère sous forme de nuage de vapeur,
• l’alimentation électrique de secours, le diesel,
• le transformateur électrique, qui modifie la tension de l’électricité (24 000 V) fournie par le groupe turbo-alternateur en une haute tension de 400 000 V, valeur du
réseau électrique européen. Pour les sites ci-dessus, les unités sont jumelées et utilisent plusieurs bâtiments en commun, dont le bâtiment des circuits nucléaires annexes.
*Dans une tour de réfrigération, l’eau à refroidir est dispersée au-dessus d’un corps d’échange formé d’un empilage de panneaux alvéolés en PVC, ou packings. Cet empilage
assure un refroidissement plus important en multipliant la surface d’échange entre l’eau qui tombe en ruisselant en film mince sur les packings et le courant d’air ascendant dans la tour.",
900 Mw CP2 avec aéroréfrigérant Schémas,Palier,,
900 Mw coupe,Palier,,
1300 et 1400 Mw sans aéroréfrigérant,Palier,,
1300 Mw coupe,Palier,,
1650 EPR,Palier,,
A,RP,"Nombre de masse (nombre de nucléons du noyau = (protons + neutrons)
Le nombre de masse (A) est le terme employé en chimie et en physique pour représenter le nombre de nucléons, c'est-à-dire la somme du nombre de proton(s) et de neutron(s) constituant le noyau d'un atome.
Plus A est important plus le pouvoir énergétique de l'atome est grand.",
A,Neutronique,"Nombre de masse (nombre de nucléons du noyau = (protons + neutrons)
Le nombre de masse (A) est le terme employé en chimie et en physique pour représenter le nombre de nucléons, c'est-à-dire la somme du nombre de proton(s) et de neutron(s) constituant le noyau d'un atome.
Plus A est important plus le pouvoir énergétique de l'atome est grand.",
A,RP,"A : Catégorie de déchets radioactifs de faible activité provenant essentiellement de l'exploitation des centrales nucléaires et stockés ""en surface"" (conditionnement et enfouissement à faible profondeur) par l'ANDRA dans des centres spécialisés (La Hague (cf. CSM), Centre de l'Aube à Soulaines-Dhuis (cf. CSA))",
A,RP,"A : Type d'emballage de déchets radioactifs, utilisé pour les déchets de faible activité, ce sont des emballages industriels robustes qui doivent notamment résister à une chute de 1,20 m, sur une aire cimentée (9 m pour les liquides ou les gaz), (cf. pour les détails des épreuves: Regulations for the Safe Transport of Radioactive Material de l'AIEA, Safety Standards Series ST-1, 1996)",
A,Documentation,A : Alimentation en eau - poste d'eau (système élémentaire repérage fonctionnels),
A20,Divers,A20 : logigramme du PCD1 pour définir le niveau de PUI à déclencher.,
A2SR,Fonctionnement,"Accord pour Activité Sans Régime : Chaque fois qu'il est nécessaire de pénétrer dans une zone ou un local  à risques : 
- Zones ATEX,
- locaux à risque anoxie,
- à pollution spécifique chimique ou biologique,
- locaux contenant des matériels susceptibles de démarrer automatiquement, 
- locaux à accès réserver aux électriciens ,
- etc...
Pour y effectuer des activités dans l'environnement d'ouvrages qui restent ou non en service : 
- sans pénétrer dans la zone de voisinage de ces ouvrages,
- sans altérer la barrière physique qui sépare et protège le personnel des sources d'énergie. (électrique, thermodynamique, mécanique) caractérisant les ouvrages.",
A3F,Divers,A3F : agent formant un film flottant.,
AA,Sygma,AA : Alarme lumineuse (sigle matériel).,
AAA,Sécurité,"Accident Avec Arrêt de travail. (AAA) :
Il a nécessité la consultation d’un médecin extérieur (c’est-à-dire en dehors de l’entreprise et non pas seulement le médecin du travail).
Celui-ci a prescrit un arrêt de travail de plus de 24 heures que l’on décompte à partir du lendemain du jour de l’accident. A la reprise du
travail, il nécessite une visite de reprise auprès du médecin du travail dès que l’interruption de travail est supérieure à 8 jours.",
AAA,Sigles US,AAA : Average Annual Availability  = disponibilité annuelle moyenne.,
AAC,Informatique,"AAC : Advanced Audio Coding. Également appelé MPEG-2 AAC ou MPEG-2 NBC, ce format s'annonce comme le successeur du MP3. Les fichiers AAC codés à un débit binaire de 96 kbit/s offrent une qualité audio légèrement meilleure que celle des MP3 codés à 128 kbit/s.",
AAC,Divers,AAC : Assistance Aux Centrales (UTO). Copyright ©  EDF-CNEPE-Hervé Chevillon,
AAC,Fonctionnement,"AAC : Arrêt à Chaud : Arrêt de courte durée correspondant à une situation d'attente en pression survenant pendant une intervention technique, ou après un incident de fonctionnement ayant motivé un arrêt d'urgence. Copyright ©  EDF-CNEPE-Hervé Chevillon",
AAD,Syst.fonct.,AAD (EPR) : Ensemble de motopompe alimentaire de démarrage et d'arrêt.,
AAD,Sigles US,AAD : Average Annual Dose - Dose moyenne annuelle.,
AAF,Fonctionnement,AAF :  Arrêt A Froid - Arrêt de longue durée permettant une intervention technique sur le CPP.,
AAI,Entité,AAI : Autorité Administrative Indépendante.,
AAI,Entité,AAI : Agence Achat Ingénierie.,
AAL,Entité,AAL : Animation appuis logistique. Copyright © EDF-CNEPE-Hervé Chevillon.,
AAO,Divers,AAO : Accepté Avec Observations. Copyright © EDF-CNEPE-Hervé Chevillon.,
AAR,Etat tranche,"AAR : Arrêt Automatique Réacteur (chute des grappes en moins de 2 secondes)
On tombe automatiquement et instantanément à 7% de puissance pour ensuite se stabiliser à environ 1% de puissance 2 h après l'AAR ( qui va durer longtemps).",
AAS,Divers,AAS : Analyse Annuelle Sureté. Copyright © EDF-CNEPE-Hervé Chevillon.,
AAS,Sûreté,AAS : Aire Autorisée de Surveillance (10km autour de la centrale),
AASR,Fonctionnement,"AASR : Accord pour Activité Sans Régime : Chaque fois qu'il est nécessaire de pénétrer dans une zone ou un local  à risques : 
- Zones ATEX
-locaux à risque anoxie
- à pollution spécifique chimique ou biologique
- locaux contenant des matériels susceptibles de démarrer automatiquement 
- locaux à accès réserver aux électriciens 
- etc...
Pour y effectuer des activités dans l'environnement d'ouvrages qui restent ou non en service : 
- sans pénétrer dans la zone de voisinage de ces ouvrages
- sans altérer la barrière physique qui sépare et protège le personnel des sources d'énergie (électrique, thermodynamique, mécanique) caractérisant les ouvrages.",
AAT,Fonctionnement,AAT : Avant Arrêt de Tranche.,
AAU,Sigles US,AAU : Association of American Universities.,
AB,Sigles US,AB : Access Building = bâtiment d'accès.,
AB,Matériels,AB : Déminéralisateur à lit anionique (RCV). (Centrales Nucléaires EDF 1300 MW),
AB,Sygma,AB : Architecture et Bâtiment  Copyright ©  EDF-CNEPE-Hervé Chevillon,
ABB,Matériels,ABB : Robot permettant d'effectuer des contrôles par CF. Copyright ©  EDF-CNEPE-Hervé Chevillon,
ABB,Divers,"ABB : Asea Brown Boveri, Groupe industriel à capitaux suisses et suédois.",
Ab-initio,Divers,AB INITIO :  (calcul) : calcul effectué à partir de données théoriques et censé être totalement prédictif,
ABB-CE,Divers,"ABB - CE : ABB-Combustion Engineering, société résultant de la fusion en janvier 90 de ABB et de CE,constructeur de centrales nucléaires  (ex: Uljin 3-4, cf. UCN), et fabricant d'uranium, a développé le projet C80+ (cf. C80+), (cf. Nuclear Engineering International, sept. 96)",
ABC,RP,ABC : Activité Becquerel Contamination (moyen mnémotechnique),
ABC,Sigles US,ABC : Antecedents Behavior Consequences. Copyright © EDF-CNEPE-Hervé Chevillon.,
ABEDT,Sigles US,ABEDT : Auxiliary Building Equipment Drain Tank : Ballon des purges du bâtiment auxiliaire.,
ABP Eau/vapeur situation CPO et CP1,Syst.fonct.,,
ABP,Syst.fonct.,"Réchauffage Basse Pression. Copyright © EDF-CNEPE-Hervé Chevillon. 
Ce système assure :
- le réchauffage de l'eau d'extraction du condenseur par échange avec la vapeur de soutirage dans une ou plusieurs files de réchauffeurs
Il assure également : 
- l'écoulement de la vapeur saturée à la turbine vers les réchauffeurs (soutirages)
- l'écoulement des purges des réchauffeurs vers le condenseur ou en cascade 
- l'évacuation vers le condenseur des gaz incondensables s'accumulant dans les enveloppes vapeur des réchauffeurs.
QS : Qualité surveillée.",
ABP CP2,Syst.fonct.,,
ABP EPR,Syst.fonct.,,
Abraser,Divers,"Abraser : consiste à aplanir, nettoyer ou polir une surface dure telle que du bois ou du métal par une action de frottement qui enlève de la matière.",
Abrasion,Divers,Abrasion : Usure d’un revêtement par le passage répétitif d’un élément abrasif.,
Absorbant,RP,"Absorbant : Matière qui possède le pouvoir d'empêcher la propagation d'un rayonnement ou de capturer des neutrons. Pour les rayonnements, les matériaux absorbants sont utilisés comme écran pour limiter partiellement ou totalement l'énergie d'un rayonnement. Les rayons gamma par exemple sont facilement absorbés par le plomb. Pour les neutrons, les matériaux absorbants (bore, cadmium), insérés dans le cœur du réacteur ont pour but de contrôler la réaction de fission par capture des neutrons. Un autre absorbant couramment utilisé est le béton, Ainsi, les rayons X sont absorbés par le plomb. De même les matériaux absorbants (bore, cadmium) des barres de contrôle introduites dans le cœur du réacteur contrôlent la fission en capturant les neutrons.",
Absorbant neutronique:,Neutronique,Absorbant neutronique : matériau contenant des nucléides qui absorbent les neutrons utilisés pour le contrôle de la réactivité des réacteurs.,
Absorbeur,Matériels,"Adsorbeur  : Appareil de constitution variable suivant qu'il est utilisé comme élément d'une installation frigorifique à absorption, pour le raffinage du pétrole, ou en électricité (absorbeur d'ondes) contre les surtensions. 
− Absorbeur d'ultra-violets. Produit incorporé dans les matières plastiques pour empêcher l'action des rayons ultra-violets du spectre solaire. 
− Asorbeur de neutrons. Matière dont l'interaction avec les neutrons donne lieu, de façon appréciable, à des réactions provoquant leur disparition. 
L'usage de l'uranium enrichi permet de réduire le volume du cœur de la pile en raison de la concentration plus élevée de la matière fissile dans ce combustible nucléaire que dans l'uranium naturel. Il rend possible l'emploi de matériaux classiques, mais plus grands absorbeurs de neutrons, comme l'acier inoxydable pour le gainage, ou l'eau ordinaire comme modérateur et fluide de refroidissement, l'uranium enrichi laissant plus de marge que l'uranium naturel dans le bilan des neutrons.",
Absorbeur de radio-iodes (ventilation),Matériels,"Adsorbeur de radio-iodes (ventilation) : Équipement qui remplace les cellules au charbon pour piéger les radio-iodes. Avantages : encombrement réduit, facilité, sécurité et économies d'exploitation.",
"Absorption
et Types
d’absorption",RP,"Absorption et types d’absorption : Absorption caractérisée par un taux de transfert des composés déposés et qui, en fonction du composé, est désignée comme étant de type F, M ou S.
Type F : absorption de composés qui ont un taux de transfert rapide (en anglais, fast) du site de dépôt de l’arbre respiratoire vers les fluides du corps
Type M : absorption de composés qui ont un taux de transfert intermédiaire (en anglais, moderate) du site de dépôt de l’arbre respiratoire vers les fluides du corps
Type S : absorption de composés qui ont un taux de transfert lent (en anglais, slow) du site de dépôt de l’arbre respiratoire vers les fluides du corps.
Autre dénomination : solubilité, transférabilité.",
Absorption molaire,Chimie,"Absorption molaire : notée par la lettre _ (epsilon) et s’exprime en Lmol-1cm-1 (pour les biochimistes) et en m2.mol-1 (pour les chimistes qui travaillent en unités du système international). Elle est fonction de la longueur d’onde, de la température, de la nature du soluté et du solvant.",
A Bus,Electricité,"A Bus : Bus rencontré dans le SCAT (N4), A-bus, appelé bus d’automatisme.
C'est un bus de communication entre les CMX. Il permet le transfert de données entre les CMX afin de réaliser les séquences automatiques nécessaire au fonctionnement de l’installation.",
ABWR,Palier,"ABWR : Advanced Boiling Water Reactor : 
Réacteur de conception GE, Hitachi et Toshiba, 1356 MW, 10 pompes de recirculation interne, 2 tranches à Kashiwazaki Kariwa (Japon), le projet comprend une salle de commande informatisée analogue à N4, la tranche 1 (tranche 6 du site) a atteint la puissance max le 28 avril 1996, la MSI a eu lieu le 7 novembre 1996, la divergence de la tranche 2 (tranche 7 du site) a eu lieu le 1er novembre 1996.
Coupe schématique d'un réacteur à eau bouillante de type Mark I. DW = enceinte sèche. WW = piscine en acier, de forme torique, où l'on condense la vapeur d'eau issue accidentellement du cœur du réacteur. SF = piscine de combustible usé. A signaler que comme le croquis ne l'indique pas les tuyauteries de communication avec l'atmosphère de enceinte de confinement plongent dans l'eau de la réserve de barbotage en fonctionnement normal de façon à obtenir un effet de condensation de la vapeur en cas de montée de pression dans l'enceinte de confinement.",
Ac,Chimie,"Ac : Actinium, numéro atomique = 89, du grec actinos (rayon), élément très radioactif (le premier de la série des actinides qui va des numéros atomiques 89 à 103 et qui sont tous radioactifs) découvert dans la pechblende par le chimiste français André Louis Debierne en 1899, (il participa également aux travaux de Marie Curie pour isoler le radium)",
AC,Sigles US,AC : Air Conditioning - Conditionnement d'air. Copyright © EDF-CNEPE-Hervé Chevillon.,
AC,Sigles US,AC : Administrative Control - Contrôle administratif.,
AC,RP,AC : Assemblage Combustible,
AC,Sygma,AC : Ascenseur monte charge (sigle matériel),
AC,Electricité,"AC : Courant Alternatif - Alternating Current, courant alternatif",
AC,Sigles US,"AC : Courant Alternatif - Alternating Current, courant alternatif",
AC,Divers,AC : Autocontrôle (pratique PH). Copyright © EDF-CNEPE-Hervé Chevillon.,
AC1,Matériels,"AC1 : Actionneur 6,6 kV.",
AC2,Matériels,AC2 : Actionneur 380V.,
AC3,Matériels,AC3 : Vanne motorisée.,
AC4,Matériels,AC4 : Vanne pneumatique TOR.,
AC5,Matériels,AC5 : Vanne réglante sans commande TOR.,
AC6,Matériels,AC6 : Vanne réglante avec commande TOR.,
AC7,Matériels,"AC7 : Contrôle tableau 6,6kV.",
AC8,Matériels,AC8 : Contrôle tableau source. Copyright ©  EDF-CNEPE-Hervé Chevillon,
AC9,Matériels,AC9 : Contrôle tableau 380 V.,
ACA,Divers,ACA : Alimentation en eau depuis l'entrée économiseur jusqu'au ballon y compris les PCA.,
ACB,Sigles US,ACB : Air Circuit Breaker : Disjoncteur à commande pneumatique. Copyright © EDF-CNEPE-Hervé Chevillon.,
ACB1,Matériels,ACB1 : Robot permettant d'effectuer des contrôles par CFP.,
ACC,Matériels,"ACC : Réservoirs sous pression utilisés par le système RIS d'injection de sécurité, pour le palier N4 les accumulateurs sont sollicités lorsque la pression du circuit primaire descend en-dessous de 40 bars.",
ACC,Electricité,"ACC : Air Craft Crash, Chute d'avion, agression externe considérée dans la conception des centrales nucléaires.",
ACC,Divers,ACC : Accumulateurs. Copyright ©  EDF-CNEPE-Hervé Chevillon,
Accès,Syst.fonct.,KKK : Contrôle des accès. Copyright © EDF-CNEPE-Hervé Chevillon. Copyright ©  EDF-CNEPE-Hervé Chevillon,
Accélérateur de particules :,Divers,"Accélérateur de particules : machine destinée à produire, mettre en forme et accélérer un faisceau de particules chargées vers des cibles ou d’autres faisceaux de particules accélérées. Les accélérateurs peuvent utiliser des forces d’accélération électrostatiques(Van de Graaff, Pelletron™) ou électromagnétiques (cyclotrons, synchrotrons). Copyright ©  EDF-CNEPE-Hervé Chevillon",
Accès sur site,EC,"Accès sur site : Copyright © EDF-CNEPE-Hervé Chevillon. 
FIDAA : 
La Fiche Individuelle de Demande d’Autorisation d’Accès est liée à l’intervenant. Elle est identique et valable sur tous les CNPE.
Une seule FIDAA est à établir par an et par intervenant. Son délai de traitement est de 3 semaines. Chaque entreprise est affectée à un CNPE (dit référent) pour le traitement des FIDAA. La FIDAA doit être transmise à l’accueil de la Protection de Site 15 jours avant la date d’intervention.
PEI
La Prévision d’Equipe Intervenante est liée à l’intervention. Elle permet la validation des accès sur site des intervenants. Son délai de traitement est de 2 semaines. Elle comprend la liste de tous les intervenants (titulaires, intérimaires, …) et est valable sur le
CNPE pour la durée de l’intervention (1 an au maximum). Elle est identique sur tous les CNPE.
Une PEI est établie par commande et par entreprise intervenante. La PEI est renseignée par le CA et visée par le Chef d'Equipe Commune ou son adjoint.
Avis de RdV
L’ARV, Avis de Rendez-vous, permet à une personne de se voir attribuer un badge pour accéder sur un CNPE.
Sa durée de validité est de 1 journée (visite professionnelle) ou 5 jours (formation locale). Il est renseigné par le CA qui prend en charge le visiteur sur site et est visé par le CdEC ou son adjoint. L’ARV est transmis à l’accueil PS, a minima 2 jours avant la visite.
Le feuillet remis au visiteur est impérativement daté et signé par la personne rencontrée en fin de visite.",
Accès Zone Contrôlée :,RP,"Accès Zone Contrôlée : Copyright © EDF-CNEPE-Hervé Chevillon. 
Pour accéder en ZC, il faut être habilité PR1 ou PR2.
Le personnel public doit obligatoirement être accompagné.
L’accompagnateur :
-Il peut être agent EDF ou prestataire.
-Il doit être déclaré comme accompagnateur sur l’application MICADO (action SPR).
-Il ne peut accompagner que 8 personnes maximum et du même sexe pour respecter
les zones d’accès (vestiaire homme / vestiaire femme).
-Il doit être habilité RP2.
Il est interdit à une personne Public de :
-Pénétrer en Zone Orange ou Rouge, en zone contaminée (c’est-à-dire dans les zones qui nécessitent des protections complémentaires comme les surtenues papier, les sur bottes…).
-Dépasser une dose prévisionnelle ou cumulée de 0,8 mSv sur 12 mois glissants.
Limitation de 4 accès sur 12 mois glissants (1 accès = 1 intervention sur une journée).
Pour suivre le schéma de signature, il faut que tout soit fournir à J-5 de l'intervention.
FIDAA + PEI ou Avis de RdV + N° Sécurité Sociale validé par la direction.",
Accès Zone Orange :,RP,"Accès zone orange :  (Débit de dose ambiant compris entre 2 et 100 mSv/h).
Seuls les travailleurs de catégorie A ou B en CDI (interdit aux CDD, intérimaires, stagiaires…)
ont le droit d’y pénétrer et doivent obligatoirement posséder une autorisation d’accès
validée.
La zone de travail doit être balisée pour empêcher l’accès de personnes non autorisées dans
la zone de travail pendant la durée de l’intervention.
Processus d’accès en zone orange :
- Analyse de Risques
- Évaluation Dosimétrique Prévisionnelle
- Liste nominative d’intervenants, vérification contrat travail
- Validation par le métier
- Autorisation du SPR
- Validation par l’exploitant
- Enregistrement dans le registre « Zone orange »
- Retour d’Expérience",
Accès Zone Rouge :,RP,"Accès zone rouge (Débit de dose ambiant >100 mSv/h).
L’accès en Zone Rouge est interdit. Toutefois, pour des raisons d’exploitation, un accès exceptionnel peut être autorisé par le Chef d’établissement. Une analyse de risques et une autorisation d’accès sont indispensables. Une fois signé le document ne peut pas être modifié. Un pré-job briefing est systématiquement réalisé préalablement à l’intervention.
L’accès est autorisé au seul personnel CDI (Interdit aux CDD, intérimaires, stagiaires…).
L’accès est condamné par un dispositif commandé simultanément par deux clés différentes
(une clef est détenue par le chef d’établissement, l’autre est détenue par le service SPR).
Processus d’accès en zone rouge :
-Analyse de Risques
-Evaluation Dosimétrique Prévisionnelle
-Liste nominative d’intervenants, vérification contrat travail
-Validation métier, Avis du SPR, validation exploitant
-Autorisation du chef d’établissement
-Pré job briefing
-Décontamination ZR et confirmation conditions radiologiques par SPR
-Minute d’arrêt
-Double condamnation
-Enregistrement
-Retour d’Expérience",
Accessoires de sécurité,Sécurité,"Les accessoires de sécurité sont : des dispositifs destinés à la protection des équipements sous pression contre le dépassement des limites admissibles. Ces dispositifs comprennent des dispositifs pour la limitation directe de la pression, tels que les soupapes de sûreté, les dispositifs à disques de rupture, les tiges de flambage, les dispositifs de sécurité pilotés.",
Accessoires sous pression,Matériels,"Accessoires sous pression : sont des dispositifs jouant un rôle opérationnel et dont l’enveloppe est soumise à pression (d'après décret 99-1046). La définition donnée à l’article 1 §2.1.4 de la DESP, précise que les accessoires sous pression comportent un dispositif jouant un rôle opérationnel et que leur enveloppe individuelle est soumise à pression, c’est à dire que le dispositif a une fonction opérationnelle autre que celle de résister à la pression.",
Accident,Divers,"Accident : Cette échelle internationale de mesure INES est élaborée par l'AIEA. 
Elle comporte 8 niveaux :
Niveau 0 = en dessous de l'échelle, aucune importance du point de vue de la sûreté.
Niveau 1 = anomalie.
Niveau 2 = incident.
Niveau 3 = incident grave.
Niveau 4 = accident n'entraînant pas de risques important hors du site.
Niveau 5 = accident grave entraînant un risque hors du site (ex : TMI).
Niveau 6 = accident grave.
Niveau 7 = accident majeur (ex : Tchernobyl).",
Accident de criticité,RP,"Accident de criticité : Déclenchement incontrôlé d'une réaction de fission en chaîne au sein d'un milieu contenant des matières fissiles telles que l'uranium 235 ou le plutonium 239. Un accident de criticité entraîne notamment une émission intense de rayonnements gamma et neutronique ainsi qu'un dégagement de gaz de fissions radioactifs. Ce type d'accident peut avoir des conséquences très graves pour les travailleurs de l'installation concernée. En revanche, les conséquences dans l'environnement sont faibles au-delà du proche voisinage de l'installation.",
Accident de réactivité,RP,"Accident de réactivité : Augmentation incontrôlée de la réactivité dans un coeur de réacteur à l’état critique.
Équivalent étranger : reactivity accident.",
Accident de référence,Etat tranche,"Accident de référence : Accident le plus grave simulé par les concepteurs d'une centrale nucléaire, et qui est pris en compte pour déterminer la structure des installations de sauvegarde d'un réacteur et la mise en place des plans d'intervention (dans l'enceinte : 150 °C, 5/6 bar, vapeur d'eau saturée à 100% d'humidité).",
Accident de travail avec arrêt,Sécurité,"L’Accident avec arrêt (AA) : Il a nécessité la consultation d’un médecin extérieur (c’est-à-dire en dehors de l’entreprise et non pas seulement le médecin du travail). Celui-ci a prescrit un arrêt de travail de plus de 24 heures que l’on décompte à partir du lendemain du jour de l’accident. A la reprise du travail, il nécessite une visite de reprise auprès du médecin du travail dès que l’interruption de travail est supérieure à 8 jours.",
